Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
191,415,no,yes,41,52.4,3,15.78,285.4,62,9.29,137.0,28,0.24,12.0,10,0.55,0,0
146,408,no,no,19,157.4,42,56.03,311.3,21,16.57,248.5,119,15.8,5.3,4,0.49,7,0
218,510,no,no,9,97.5,154,10.93,290.5,78,29.64,2.7,169,14.1,4.1,3,2.23,6,0
44,415,yes,no,9,330.1,50,41.72,85.3,156,23.8,387.9,57,15.94,5.5,4,0.58,1,0
162,415,yes,yes,23,309.4,4,2.52,202.8,70,11.41,67.4,117,13.49,12.5,6,2.81,4,1
202,408,no,no,33,29.4,133,11.66,139.8,113,17.28,260.4,31,14.94,2.9,16,1.93,3,0
190,408,yes,yes,27,180.8,86,19.98,166.9,33,18.7,282.7,139,3.45,14.4,17,4.6,8,1
228,510,no,yes,26,78.8,105,46.88,55.9,95,24.68,67.8,157,5.43,8.5,0,2.09,3,0
14,415,no,yes,39,143.8,55,46.61,114.6,129,22.09,44.1,59,5.36,7.1,15,3.07,4,1
95,510,no,no,0,306.9,109,56.2,311.3,153,17.08,60.3,138,1.86,16.1,8,4.06,7,1
48,415,no,yes,32,184.6,67,54.09,325.8,108,20.08,97.5,100,12.4,10.1,11,1.51,2,0
15,510,no,yes,3,117.0,95,4.81,221.5,74,22.38,66.5,138,2.31,7.6,18,2.56,5,1
200,408,no,yes,6,72.8,43,48.96,180.9,18,3.99,266.2,111,0.89,17.6,10,0.6,5,1
206,415,no,yes,8,280.1,142,26.62,258.8,124,6.01,166.2,110,13.18,7.4,5,2.16,6,0
215,510,yes,no,15,218.6,89,51.09,221.0,19,20.66,212.4,79,15.38,17.2,3,1.88,8,1
190,408,no,yes,4,163.8,41,5.27,357.1,160,25.51,18.7,98,12.99,10.1,15,2.14,2,0
40,408,no,yes,33,76.1,138,48.54,69.0,115,12.28,340.2,0,14.03,4.2,2,0.54,4,1
213,510,no,no,22,117.0,72,9.42,163.0,93,29.4,67.4,88,10.13,12.3,7,1.99,4,1
208,415,no,no,42,335.9,10,19.7,333.3,81,6.48,142.3,112,15.09,5.7,15,4.35,4,0
237,415,yes,no,49,182.0,154,1.7,332.0,95,12.5,28.4,26,8.44,2.9,1,4.69,5,0
82,408,yes,no,24,140.2,57,7.3,179.8,103,11.36,54.0,115,16.8,1.7,12,1.21,0,0
111,415,no,yes,50,182.5,127,26.3,48.9,3,27.91,263.0,31,1.76,4.8,18,1.5,8,1
53,415,no,no,12,272.6,20,48.28,295.8,159,8.56,273.6,5,13.76,14.7,15,0.05,2,1
24,415,no,yes,23,119.0,20,45.65,212.4,146,14.12,267.4,40,10.9,16.8,18,0.58,5,1
154,408,no,no,10,62.5,71,13.88,280.7,130,5.62,218.1,163,9.87,17.2,7,1.73,3,0
217,510,no,no,50,204.7,128,8.95,167.9,91,15.64,376.2,166,12.34,5.4,1,3.43,6,0
188,415,no,yes,16,232.8,101,22.97,74.0,60,25.72,200.3,86,14.28,13.2,0,1.46,7,0
124,408,no,no,36,249.5,12,52.11,8.7,37,9.12,177.5,157,14.67,4.6,16,0.38,3,0
237,408,no,no,12,308.7,72,5.39,203.0,117,24.32,97.8,56,2.98,12.5,17,3.65,5,0
41,510,no,no,26,129.9,5,32.03,58.5,133,27.34,39.0,138,3.35,17.7,6,2.33,6,0
157,415,no,no,19,26.4,111,5.24,67.9,55,2.19,216.5,89,0.27,0.8,8,2.6,6,0
15,415,no,no,32,335.4,16,27.74,158.4,167,22.69,124.4,130,2.24,19.7,2,1.63,8,1
45,510,no,yes,41,152.3,72,7.48,160.5,120,7.66,207.0,47,4.49,16.5,10,3.07,7,0
65,510,no,yes,31,218.1,11,4.74,99.6,80,5.26,81.4,133,12.26,15.2,15,4.45,2,0
89,408,no,no,7,233.2,85,11.26,47.9,105,18.03,331.1,6,8.09,13.8,8,2.77,3,0
71,408,no,no,28,191.3,121,15.06,343.0,119,21.17,394.9,43,12.88,15.4,11,2.94,8,0
9,510,yes,no,39,71.8,69,16.3,47.8,68,11.84,127.3,60,8.27,19.9,13,1.87,6,0
88,415,no,no,18,264.3,107,38.07,127.3,82,1.18,332.7,85,9.45,15.4,3,0.41,6,1
129,408,no,no,5,281.3,51,3.24,110.7,41,27.26,344.8,47,1.89,7.0,3,2.14,0,0
236,408,no,no,43,193.5,36,4.77,314.5,98,21.92,393.4,60,13.2,12.3,10,4.62,1,0
136,415,no,no,38,171.0,116,11.13,148.9,129,8.15,135.4,96,12.89,6.7,1,3.4,0,0
216,408,no,no,47,39.9,2,51.45,45.0,27,14.91,298.6,167,5.23,19.4,17,2.45,3,0
63,415,yes,no,40,29.4,7,37.09,3.7,116,0.83,90.4,130,5.59,18.0,2,3.1,3,0
139,415,no,no,20,118.8,137,43.09,262.1,144,10.18,246.8,157,3.73,11.4,1,2.79,4,1
81,415,no,no,21,108.8,46,21.85,259.4,69,15.68,278.4,151,13.84,15.6,0,4.56,4,1
136,510,no,yes,41,333.8,63,12.58,151.7,106,15.52,292.7,1,12.7,18.2,4,1.12,0,0
163,510,no,no,9,274.3,41,2.24,45.8,122,6.25,81.8,43,10.36,4.9,6,4.44,6,0
163,510,no,no,9,231.0,42,28.82,134.9,68,23.3,335.2,167,4.06,11.6,19,3.44,5,0
33,415,no,no,28,181.2,124,33.88,214.1,38,8.97,166.3,18,2.92,9.6,3,0.64,7,0
123,415,yes,no,15,58.6,136,52.92,255.5,134,17.41,85.5,151,0.85,15.4,2,1.86,3,0
5,510,no,no,0,342.5,13,52.04,28.4,159,8.15,214.3,49,0.78,7.6,5,2.18,0,0
234,408,no,yes,16,131.3,90,25.06,201.9,3,12.76,341.0,19,3.18,14.2,11,0.41,2,0
231,415,no,no,29,37.4,131,24.99,100.2,148,6.23,382.0,56,1.71,8.1,15,2.77,8,0
41,408,no,no,25,172.8,1,9.51,224.1,159,18.99,295.5,112,9.45,2.2,7,1.3,6,0
28,408,no,no,45,305.9,114,15.19,235.3,81,12.77,2.2,49,6.09,2.1,10,2.29,1,1
135,415,no,yes,18,310.6,0,54.61,330.5,96,0.48,53.2,94,7.56,2.4,12,2.19,2,1
201,415,no,no,20,3.8,74,8.32,149.0,141,0.84,30.1,104,10.1,0.7,13,2.61,1,0
72,408,no,no,16,310.2,64,57.15,195.1,69,14.13,40.0,158,11.2,10.7,17,4.23,3,0
12,408,yes,no,45,95.0,124,29.78,97.4,45,5.5,151.3,164,11.02,13.4,7,3.9,1,0
162,510,no,no,39,13.6,134,26.94,104.0,147,17.55,133.7,106,4.43,2.5,0,4.37,3,0
33,510,no,no,20,296.7,65,10.3,16.7,98,12.25,44.9,92,13.76,12.2,3,2.86,6,1
48,415,no,no,40,302.4,142,39.03,103.8,79,19.63,348.5,3,15.6,12.0,16,3.08,7,1
151,510,yes,no,39,208.7,71,27.13,23.2,47,28.57,243.1,137,5.37,2.9,19,2.15,5,1
62,510,no,no,44,201.1,115,21.87,349.9,6,15.86,314.6,62,0.29,8.1,5,3.59,8,1
216,510,no,yes,48,284.6,120,15.61,226.6,39,23.62,146.8,163,15.29,15.1,4,1.02,5,1
37,510,no,no,18,275.2,46,3.92,62.9,58,22.59,162.0,56,15.7,0.3,13,2.38,2,1
99,408,no,no,6,311.5,89,30.64,42.4,35,27.65,125.5,170,0.87,2.9,18,3.57,0,1
172,415,no,no,16,193.5,39,18.46,134.4,107,6.42,173.2,104,0.08,19.9,13,3.89,8,1
104,510,yes,no,0,338.7,41,41.76,111.7,30,24.82,241.1,64,13.88,14.7,1,1.24,2,0
214,408,no,yes,36,348.7,34,42.69,101.4,169,27.17,194.7,139,5.12,9.3,8,0.91,0,1
219,408,no,yes,5,40.8,40,19.59,170.0,43,11.78,331.0,61,15.55,12.6,6,1.44,1,0
35,408,no,no,25,297.3,84,39.48,331.4,42,9.41,355.6,151,3.68,16.9,17,4.6,2,1
193,510,no,yes,1,174.9,123,15.26,206.2,133,28.56,185.5,129,14.64,16.8,19,0.65,7,1
227,510,no,no,31,135.6,56,42.9,189.2,92,18.83,94.7,174,1.17,6.5,10,4.77,7,0
101,415,yes,no,47,214.6,37,0.95,292.8,85,11.42,373.4,125,4.43,9.8,7,4.97,1,0
175,510,no,no,4,19.6,95,8.94,1.5,8,23.75,290.3,143,16.54,12.8,9,3.92,5,0
206,510,yes,yes,36,177.3,135,14.46,71.7,10,9.13,252.9,161,3.93,1.4,17,3.8,1,0
131,408,no,yes,30,304.8,62,45.6,180.1,79,5.29,294.4,145,2.26,18.9,16,4.77,6,1
1,415,no,no,11,74.7,86,3.92,256.0,108,16.32,30.0,28,14.57,8.7,16,1.45,2,0
5,510,no,no,34,149.2,131,11.1,176.1,117,16.99,26.7,50,2.0,7.4,0,0.64,7,0
218,510,no,no,29,328.8,51,21.16,59.4,17,24.77,60.5,13,1.66,18.1,3,4.12,2,0
142,408,no,no,47,150.0,37,0.54,337.6,152,13.71,58.2,93,5.5,2.4,10,0.85,5,0
103,408,no,no,5,125.4,86,44.97,119.3,96,24.44,166.2,57,10.8,0.8,8,0.23,0,0
27,510,no,no,14,154.2,4,33.05,286.1,29,9.34,62.2,162,12.08,13.7,8,0.98,7,1
137,415,no,no,14,181.8,119,53.14,323.6,114,17.26,337.5,136,14.98,7.7,2,2.19,6,0
207,415,no,no,15,221.2,69,1.83,125.8,0,6.25,228.3,127,9.2,15.3,5,2.48,0,0
15,408,no,yes,19,280.2,112,16.01,306.8,96,11.56,145.5,36,6.69,1.4,5,0.31,6,0
90,408,no,yes,12,158.2,23,43.14,258.0,112,25.73,27.5,102,6.1,7.7,9,2.22,4,1
42,510,no,no,43,286.1,85,39.83,328.3,78,6.48,233.5,11,14.4,4.7,9,3.02,1,0
124,408,no,no,41,186.8,144,14.34,91.2,28,24.31,46.0,84,12.3,14.8,16,4.66,0,0
205,510,no,yes,45,118.5,25,35.15,338.1,65,8.49,293.6,138,15.39,4.5,14,1.14,1,0
179,415,no,yes,30,230.3,2,46.83,23.7,104,1.03,317.1,26,16.39,9.2,3,1.05,5,1
63,415,no,no,33,251.2,1,1.97,288.1,18,3.3,214.9,87,5.1,16.4,9,1.95,1,0
96,510,no,yes,28,195.3,91,42.34,158.1,65,22.38,59.1,170,9.0,18.3,7,4.92,5,0
231,408,no,no,2,19.8,1,14.87,64.6,111,7.86,310.8,97,10.74,14.5,0,1.68,7,1
241,415,no,no,8,59.5,149,55.92,28.8,158,19.62,121.6,19,2.79,8.6,16,0.22,7,0
52,408,no,no,10,99.9,70,31.75,141.4,59,20.98,87.9,140,0.91,11.4,11,1.33,5,0
96,415,no,no,10,98.9,3,1.97,141.3,116,10.35,185.9,46,14.75,13.8,11,2.79,4,0
132,510,no,no,24,235.7,37,23.8,83.5,67,14.25,364.4,7,9.1,17.5,12,2.06,3,0
222,510,no,no,21,6.4,102,57.01,78.2,92,12.11,117.5,70,9.7,17.8,13,3.87,5,0
229,510,no,no,41,264.5,69,43.09,145.0,157,28.42,357.7,63,9.43,18.6,7,3.04,4,1
151,415,no,no,45,92.9,51,17.73,148.9,140,9.6,21.2,43,12.83,16.2,13,2.8,3,0
231,408,no,no,8,108.5,30,33.94,160.6,142,5.5,33.0,11,2.47,2.9,6,1.61,5,0
237,408,yes,yes,19,184.8,153,35.35,315.4,147,10.97,275.9,104,10.44,15.0,16,2.76,8,0
143,408,no,yes,20,75.6,35,1.38,221.9,161,20.09,75.3,3,7.98,16.3,10,3.08,8,0
171,415,no,yes,9,309.6,153,10.55,7.4,147,20.92,125.1,39,15.25,17.6,0,0.9,7,0
29,415,no,yes,21,29.9,155,32.55,188.4,49,27.72,53.9,146,8.83,18.5,7,3.68,0,0
36,415,no,no,28,155.5,132,23.76,276.8,88,26.45,131.2,0,16.03,10.2,12,1.96,8,1
13,415,no,no,8,297.3,114,11.21,20.5,154,8.65,110.8,118,6.01,13.1,16,3.71,4,1
160,415,no,no,4,215.5,73,45.59,153.4,157,13.65,290.9,140,16.44,0.2,11,0.89,2,0
71,408,no,no,39,102.3,17,28.85,163.8,98,22.42,277.3,49,14.88,11.5,15,3.28,7,1
187,415,no,no,10,147.3,14,18.29,346.3,112,27.5,377.2,169,9.93,9.5,9,0.13,7,0
86,415,no,no,0,247.3,96,9.54,172.7,106,10.11,286.1,108,6.01,19.2,15,0.79,8,0
28,408,no,no,41,340.6,4,36.06,272.2,23,13.33,274.5,152,6.39,18.0,2,4.46,1,0
66,415,no,yes,0,312.6,36,39.31,110.0,24,26.98,274.2,43,13.14,16.0,0,2.31,3,0
170,408,yes,yes,38,119.9,103,39.51,282.9,10,10.75,348.8,108,9.87,1.1,18,2.54,1,0
45,408,yes,no,45,349.4,85,13.0,117.1,93,14.42,117.0,97,6.83,8.0,7,4.54,5,0
62,510,no,no,4,1.2,149,35.12,156.1,59,27.14,118.5,80,10.81,13.9,15,2.42,0,0
185,510,no,yes,48,9.7,14,53.42,174.1,152,24.07,292.8,148,12.46,0.6,14,3.27,2,0
134,510,no,yes,21,288.3,16,20.84,336.3,24,7.3,90.3,75,0.39,4.7,6,1.11,1,0
28,510,no,no,25,69.8,50,12.44,19.4,144,9.74,360.2,79,1.53,17.8,1,0.41,6,0
28,415,no,yes,5,21.3,44,45.56,71.5,139,10.59,211.2,51,1.61,2.6,12,1.77,7,0
108,510,no,no,31,83.0,121,10.44,256.2,122,27.38,118.5,62,3.94,1.0,4,3.99,1,0
44,408,yes,no,47,149.1,155,14.97,209.7,10,29.97,306.6,83,7.26,11.6,9,2.23,8,1
84,415,no,no,10,255.7,148,5.94,91.3,9,23.22,123.4,137,13.66,18.9,7,0.84,0,1
30,510,no,no,9,218.5,81,15.8,105.0,80,14.53,380.5,86,5.97,16.7,12,2.73,1,0
190,408,no,no,46,83.2,144,24.21,133.3,53,0.31,388.3,110,0.3,19.5,18,1.32,2,0
75,415,no,no,38,176.1,134,3.79,163.5,108,20.92,263.4,58,8.22,15.1,5,4.73,1,0
128,415,no,no,33,324.2,88,51.43,296.9,62,11.68,44.9,7,16.94,8.7,17,2.89,0,0
92,510,no,no,30,285.3,100,30.31,5.0,19,18.99,104.0,50,5.93,18.9,7,4.91,7,0
217,415,no,yes,11,113.1,39,34.7,326.0,4,18.2,203.6,132,16.34,8.5,8,0.22,0,0
231,408,no,no,50,343.8,42,21.91,149.9,40,14.42,336.3,75,1.72,7.0,16,0.06,4,1
190,415,no,no,43,248.0,72,39.52,83.7,117,28.33,73.0,169,2.94,9.0,3,2.39,5,0
225,408,no,no,15,21.9,22,25.48,184.6,62,0.69,41.2,77,12.31,16.3,17,4.31,6,0
129,415,no,no,37,12.3,94,44.92,239.5,31,21.36,29.4,123,8.52,18.4,5,2.62,2,0
121,510,no,no,2,58.9,159,48.46,16.2,26,12.3,200.3,11,13.01,7.2,10,4.38,6,0
27,408,no,yes,1,254.7,158,39.64,259.8,67,21.41,349.5,23,14.68,9.2,9,0.65,7,1
190,415,no,no,4,64.3,16,28.99,276.2,104,20.26,16.7,44,4.27,18.0,10,3.5,2,0
121,415,no,no,10,179.0,111,46.15,60.3,6,0.31,83.9,52,11.61,0.9,7,3.3,4,1
116,415,no,no,24,32.6,102,29.16,60.9,102,8.56,273.8,144,10.33,15.7,2,2.72,0,0
205,408,no,no,34,322.3,57,6.58,74.0,111,5.67,326.2,117,14.65,9.1,1,2.03,8,1
233,408,yes,yes,34,120.4,85,6.86,289.2,145,5.01,318.9,36,7.31,7.5,17,3.24,7,0
3,408,no,no,21,317.8,34,55.97,98.7,165,21.85,310.1,74,0.88,8.9,1,2.75,2,0
103,510,yes,yes,36,330.7,29,12.6,288.9,102,7.19,51.3,169,9.76,8.4,11,1.36,3,0
198,510,no,no,21,2.1,103,48.14,196.2,16,14.24,156.9,78,16.3,15.1,4,0.52,0,0
200,408,no,no,10,162.4,164,14.56,278.5,89,7.41,389.0,167,0.25,18.6,3,1.93,0,0
155,415,no,yes,31,8.6,121,25.42,201.0,114,17.41,390.6,22,4.08,9.8,15,2.56,5,1
137,510,no,no,34,318.0,133,38.64,121.9,85,21.62,238.0,150,5.37,16.7,13,2.54,5,0
62,408,no,yes,30,181.4,33,9.37,330.6,102,9.93,280.2,48,13.02,14.6,1,2.13,8,0
165,415,no,yes,44,26.2,55,43.5,259.7,81,18.09,375.8,127,5.5,6.6,6,1.64,4,1
225,510,no,no,7,38.6,24,40.7,175.7,125,24.75,177.7,134,4.06,11.7,10,1.75,2,0
51,415,no,no,19,134.2,114,32.04,231.4,37,2.83,54.1,36,11.03,13.3,11,1.33,5,1
234,415,no,no,41,329.1,12,33.39,223.6,91,21.32,264.2,143,0.79,0.5,4,2.9,7,0
172,415,no,no,33,242.5,62,6.24,130.0,62,9.69,379.2,37,2.9,7.9,15,4.25,6,0
152,415,no,no,3,303.7,101,25.72,153.8,169,3.68,275.4,98,6.94,19.9,6,4.4,2,0
207,510,no,no,17,128.3,121,5.11,115.5,135,16.37,317.3,167,6.05,12.7,7,4.97,0,0
59,510,no,yes,50,15.1,119,18.16,362.8,29,6.79,167.0,28,5.9,6.7,3,0.44,3,0
118,510,no,yes,3,341.0,132,53.12,210.6,63,24.64,38.1,102,1.85,5.0,3,1.07,5,1
160,408,yes,no,19,6.0,10,33.9,33.4,8,1.29,66.7,144,6.13,4.2,5,3.65,3,1
96,510,no,no,8,331.7,108,43.82,188.4,56,2.96,388.1,147,13.57,8.0,1,3.23,4,0
